"REF_DATE","GEO","DGUID","Time arriving at work (16)","Main mode of commuting (21)","Commuting duration (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Québec (CMA) 421, Que.","2021S0503421","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3352.1.1.7","19.8","","","","1"
"2021","Québec (CMA) 421, Que.","2021S0503421","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3352.1.2.7","19.3","","","","1"
"2021","Québec (CMA) 421, Que.","2021S0503421","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3352.1.11.7","23.2","","","","1"
"2021","Québec (CMA) 421, Que.","2021S0503421","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3352.1.12.7","32.0","","","","1"
"2021","Red Deer (CMA) 830, Alta.","2021S0503830","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3546.1.1.7","17.0","","","","1"
"2021","Red Deer (CMA) 830, Alta.","2021S0503830","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3546.1.2.7","16.8","","","","1"
"2021","Red Deer (CMA) 830, Alta.","2021S0503830","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3546.1.11.7","20.0","","","","1"
"2021","Red Deer (CMA) 830, Alta.","2021S0503830","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3546.1.12.7","28.5","","","","1"
"2021","Regina (CMA) 705, Sask.","2021S0503705","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3575.1.1.7","17.0","","","","1"
"2021","Regina (CMA) 705, Sask.","2021S0503705","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3575.1.2.7","16.8","","","","1"
"2021","Regina (CMA) 705, Sask.","2021S0503705","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3575.1.11.7","20.5","","","","1"
"2021","Regina (CMA) 705, Sask.","2021S0503705","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3575.1.12.7","31.2","","","","1"
"2021","Saguenay (CMA) 408, Que.","2021S0503408","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3637.1.1.7","16.4","","","","1"
"2021","Saguenay (CMA) 408, Que.","2021S0503408","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3637.1.2.7","16.5","","","","1"
"2021","Saguenay (CMA) 408, Que.","2021S0503408","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3637.1.11.7","16.1","","","","1"
"2021","Saguenay (CMA) 408, Que.","2021S0503408","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3637.1.12.7","28.4","","","","1"
"2021","Saint John (CMA) 310, N.B.","2021S0503310","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3686.1.1.7","19.0","","","","1"
"2021","Saint John (CMA) 310, N.B.","2021S0503310","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3686.1.2.7","19.4","","","","1"
"2021","Saint John (CMA) 310, N.B.","2021S0503310","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3686.1.11.7","17.0","","","","1"
"2021","Saint John (CMA) 310, N.B.","2021S0503310","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3686.1.12.7","26.4","","","","1"
"2021","Saint-Hyacinthe(CA) 452, Que.","2021S0504452","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3739.1.1.7","19.9","","","","1"
"2021","Saint-Hyacinthe(CA) 452, Que.","2021S0504452","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3739.1.2.7","20.2","","","","1"
"2021","Saint-Hyacinthe(CA) 452, Que.","2021S0504452","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3739.1.11.7","17.5","","","","1"
"2021","Saint-Hyacinthe(CA) 452, Que.","2021S0504452","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3739.1.12.7","47.7","","","","1"
"2021","Sarnia(CA) 562, Ont.","2021S0504562","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3753.1.1.7","16.5","","","","1"
"2021","Sarnia(CA) 562, Ont.","2021S0504562","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3753.1.2.7","16.6","","","","1"
"2021","Sarnia(CA) 562, Ont.","2021S0504562","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3753.1.11.7","15.4","","","","1"
